選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
内山　壮真,116,470,423,50,111,26,1,8,163,48,8,3,1,4,41,0,1,66,10,0.262,0.385,0.326
オスナ,141,574,528,38,135,22,0,14,199,67,4,1,0,5,40,6,1,76,13,0.256,0.377,0.307
*太田　賢吾,44,131,118,11,27,6,0,0,33,6,0,0,1,2,6,0,4,28,0,0.229,0.28,0.285
大西　広樹,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小川　泰弘,13,28,22,0,1,1,0,0,2,1,0,0,5,1,0,0,0,10,0,0.045,0.091,0.043
奥川　恭伸,18,32,24,2,5,1,0,0,6,0,0,0,8,0,0,0,0,13,0,0.208,0.25,0.208
*金久保　優斗,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*川端　慎吾,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5
木澤　尚文,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北村　恵吾,46,141,120,15,32,10,0,5,57,19,0,1,1,1,15,0,4,20,3,0.267,0.475,0.364
北村　拓己,62,132,116,9,22,3,0,3,34,7,0,1,6,0,6,0,4,29,1,0.19,0.293,0.254
古賀　優大,87,291,264,16,74,11,0,2,91,16,2,0,9,2,12,2,4,23,14,0.28,0.345,0.319
*小澤　怜史,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンタナ,60,240,212,25,58,11,0,3,78,15,1,1,0,0,25,0,3,65,4,0.274,0.368,0.358
*阪口　皓亮,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*坂本　拓己,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*澤井　廉,27,77,75,3,14,4,0,1,21,3,0,0,0,0,1,0,1,27,1,0.187,0.28,0.208
塩見　泰隆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*清水　昇,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下川　隼佑,9,8,6,1,1,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0.167,0.333,0.167
*荘司　宏太,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鈴木　叶,2,6,6,0,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333
高梨　裕稔,17,27,24,1,1,0,0,0,1,0,0,0,3,0,0,0,0,15,0,0.042,0.042,0.042
*高橋　奎二,8,11,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0
*田口　麗斗,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*武岡　龍世,47,119,104,6,19,5,0,1,27,5,1,0,7,1,7,0,0,23,0,0.183,0.26,0.232
*田中　陽翔,6,13,13,3,4,2,0,0,6,2,0,0,0,0,0,0,0,3,0,0.308,0.462,0.308
*中村　優斗,4,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.25,0.25,0.4
中村　悠平,74,221,187,13,43,6,0,1,52,11,1,0,8,1,22,2,3,30,6,0.23,0.278,0.319
*長岡　秀樹,67,261,247,20,60,14,2,0,78,13,1,0,3,2,8,1,1,21,6,0.243,0.316,0.267
並木　秀尊,54,128,114,26,29,6,1,3,46,10,6,2,6,0,6,0,2,15,0,0.254,0.404,0.303
*西川　遥輝,49,134,115,10,20,3,1,0,25,6,1,0,2,0,16,0,1,32,1,0.174,0.217,0.28
*西村　瑠伊斗,4,11,11,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0.091,0.091,0.091
沼田　翔平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バウマン,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*橋本　星哉,15,17,16,0,2,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0.125,0.125,0.176
*長谷川　宙輝,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
濱田　太貴,34,104,95,13,21,6,0,4,39,9,0,0,0,0,5,0,4,26,1,0.221,0.411,0.288
星　知弥,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
増田　珠,75,132,116,9,27,4,2,1,38,11,1,0,2,0,10,0,4,19,2,0.233,0.328,0.315
松本　健吾,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
松本　直樹,18,36,34,0,6,1,0,0,7,0,0,0,0,0,2,0,0,7,3,0.176,0.206,0.222
*丸山　和郁,39,36,32,6,4,0,0,0,4,2,3,1,2,0,2,1,0,12,0,0.125,0.125,0.176
*丸山　翔大,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*宮本　丈,80,106,89,4,23,4,0,0,27,9,1,0,2,0,14,1,1,20,2,0.258,0.303,0.365
*村上　宗隆,56,224,187,34,51,7,0,22,124,47,4,2,0,3,32,3,2,64,1,0.273,0.663,0.379
*茂木　栄五郎,53,172,150,12,36,2,0,5,53,16,0,3,1,0,19,1,2,48,2,0.24,0.353,0.333
矢崎　拓也,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山田　哲人,108,377,338,25,78,17,0,12,131,37,3,1,0,4,33,4,2,63,8,0.231,0.388,0.3
*山野　太一,14,27,21,1,3,1,0,0,4,1,0,0,5,0,1,0,0,8,0,0.143,0.19,0.182
山野辺　翔,17,24,19,2,4,1,0,0,5,2,2,0,2,0,2,1,1,2,0,0.211,0.263,0.318
*山本　大貴,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉村　貢司郎,22,46,36,1,1,1,0,0,2,0,0,0,8,0,2,0,0,15,2,0.028,0.056,0.079
ランバート,21,31,28,1,3,0,0,0,3,1,0,0,3,0,0,0,0,13,0,0.107,0.107,0.107
石伊　雄太,85,270,235,17,52,9,0,3,70,21,0,1,16,2,14,1,3,63,6,0.221,0.298,0.272
石川　昂弥,22,75,72,6,10,2,0,1,15,5,0,1,0,0,2,0,1,27,1,0.139,0.208,0.173
石橋　康太,10,12,8,0,1,0,0,0,1,1,0,0,1,0,3,0,0,3,0,0.125,0.125,0.364
*板山　祐太郎,84,193,179,17,37,5,2,2,52,10,0,0,2,1,10,1,1,50,4,0.207,0.291,0.251
*伊藤　茉央,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩嵜　翔,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウォルターズ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*上林　誠知,134,517,486,52,131,21,4,17,211,52,27,5,6,1,20,7,4,102,3,0.27,0.434,0.303
鵜飼　航丞,30,53,53,0,10,0,0,0,10,1,1,0,0,0,0,0,0,13,1,0.189,0.189,0.189
*宇佐見　真吾,20,41,34,2,4,0,0,0,4,1,0,0,1,0,6,2,0,13,1,0.118,0.118,0.25
梅野　雄吾,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*大島　洋平,59,98,95,8,23,0,0,0,23,4,4,0,0,0,3,0,0,14,0,0.242,0.242,0.265
*大野　雄大,20,41,32,0,1,0,0,0,1,0,0,0,8,0,1,0,0,19,0,0.031,0.031,0.061
*岡田　俊哉,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*岡林　勇希,143,637,578,71,168,22,8,5,221,35,17,5,4,3,51,10,1,57,1,0.291,0.382,0.348
*尾田　剛樹,28,5,5,7,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0
カリステ,61,192,176,13,40,9,1,1,54,14,1,1,1,3,12,0,0,37,4,0.227,0.307,0.272
勝野　昌慶,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加藤　匠馬,47,75,64,4,15,1,0,1,19,6,0,0,9,0,2,1,0,17,2,0.234,0.297,0.258
*金丸　夢斗,15,27,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0
*川越　誠司,28,43,37,2,7,1,0,0,8,0,0,0,0,0,4,0,2,12,0,0.189,0.216,0.302
木下　拓哉,38,122,112,7,27,3,0,2,36,8,0,0,2,0,8,2,0,20,3,0.241,0.321,0.292
草加　勝,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*近藤　廉,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*齋藤　綱記,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐藤　龍世,23,77,66,5,13,3,0,0,16,3,1,0,2,1,8,1,0,20,2,0.197,0.242,0.28
清水　達也,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*駿太,22,18,17,2,4,0,0,0,4,0,0,1,1,0,0,0,0,7,0,0.235,0.235,0.235
*祖父江　大輔,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*高橋　周平,41,101,94,1,22,5,0,0,27,8,0,0,0,0,7,1,0,21,2,0.234,0.287,0.287
髙橋　宏斗,26,54,45,2,5,0,0,0,5,0,0,0,8,0,1,0,0,17,0,0.111,0.111,0.13
田中　幹也,95,365,315,33,85,13,1,1,103,21,12,2,22,2,24,1,2,35,2,0.27,0.327,0.324
チェイビス,38,120,105,7,18,4,0,5,37,8,0,0,0,1,11,2,3,32,2,0.171,0.352,0.267
辻本　倫太郎,29,56,53,3,7,3,0,0,10,1,0,0,3,0,0,0,0,10,1,0.132,0.189,0.132
津田　啓史,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*土田　龍空,20,53,51,1,7,2,0,0,9,2,0,0,0,0,2,0,0,16,2,0.137,0.176,0.17
中田　翔,26,69,63,4,10,3,0,2,19,4,0,0,0,0,6,1,0,13,1,0.159,0.302,0.232
仲地　礼亜,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*根尾　昂,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*橋本　侑樹,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*濱　将乃介,5,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
*樋口　正修,33,25,22,2,2,0,0,0,2,0,5,3,2,0,1,0,0,8,0,0.091,0.091,0.13
ブライト　健太,83,157,139,17,36,10,2,3,59,20,0,2,2,0,13,0,3,40,3,0.259,0.424,0.335
*福　敬登,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*福田　幸之介,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福永　裕基,20,57,52,4,9,1,0,1,13,3,0,1,0,0,4,0,1,16,1,0.173,0.25,0.246
藤嶋　健人,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*ボスラー,122,493,452,37,118,33,2,13,194,58,0,1,0,5,30,3,6,101,5,0.261,0.429,0.312
細川　成也,108,428,360,38,92,22,1,20,176,58,2,3,0,3,61,6,4,109,11,0.256,0.489,0.367
マラー,18,33,28,0,2,1,0,0,3,0,0,0,3,0,1,0,1,13,1,0.071,0.107,0.133
マルテ,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松木平　優太,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*松葉　貴大,23,44,33,1,5,0,0,0,5,0,0,0,8,0,2,0,1,8,0,0.152,0.152,0.222
松山　晋也,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三浦　瑞樹,7,9,8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0.125,0.125,0.222
*味谷　大誠,3,8,7,1,1,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0.143,0.143,0.125
*村松　開人,54,186,158,9,28,3,1,2,39,10,2,2,9,3,13,0,3,39,1,0.177,0.247,0.249
メヒア,25,7,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.286,0.286,0.286
*森　駿太,6,22,20,1,4,0,1,0,6,0,0,0,0,0,1,0,1,8,0,0.2,0.3,0.273
柳　裕也,14,26,24,0,2,0,0,0,2,0,0,0,1,0,1,0,0,11,0,0.083,0.083,0.12
山本　泰寛,112,372,347,23,84,12,2,4,112,23,3,2,14,0,10,0,1,62,5,0.242,0.323,0.265
*吉田　聖弥,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ロドリゲス,20,34,29,3,6,1,0,0,7,1,0,0,1,0,4,0,0,11,1,0.207,0.241,0.303
涌井　秀章,12,16,15,1,2,0,0,0,2,0,0,0,0,0,1,0,0,10,0,0.133,0.133,0.188
*秋広　優人,22,59,53,4,11,2,0,1,16,4,0,0,0,0,5,0,1,16,1,0.208,0.302,0.288
有原　航平,26,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
*イヒネ　イツア,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石塚　綜一郎,24,60,55,4,13,4,0,0,17,6,0,0,0,0,1,0,4,17,2,0.236,0.309,0.3
伊藤　優輔,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井上　朋也,8,24,24,0,3,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0.125,0.125,0.125
今宮　健太,46,182,161,14,41,8,1,2,57,12,0,0,6,1,12,0,2,23,7,0.255,0.354,0.313
岩井　俊介,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩崎　峻典,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海野　隆司,105,281,246,24,54,11,2,0,69,21,0,0,24,0,10,1,1,76,4,0.22,0.28,0.253
上沢　直之,23,5,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
オスナ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*大江　竜聖,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*大関　友久,24,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
*大津　亮介,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*大野　稼頭央,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大山　凌,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*尾形　崇斗,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*緒方　理貢,101,79,74,25,16,2,1,0,20,6,8,3,2,0,3,0,0,12,3,0.216,0.27,0.247
上茶谷　大河,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川口　冬弥,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*川瀬　晃,102,224,190,21,50,8,1,2,66,23,1,1,13,0,20,0,1,37,5,0.263,0.347,0.336
*川村　友斗,15,9,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.111,0.111,0.111
*木村　光,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*栗原　陵矢,80,332,285,33,76,12,2,8,116,40,1,1,1,4,40,1,2,67,6,0.267,0.407,0.356
*近藤　健介,75,307,256,28,77,17,1,10,126,41,0,0,0,2,47,5,2,43,6,0.301,0.492,0.41
*笹川　吉康,26,63,61,8,13,0,0,1,16,8,2,0,0,1,0,0,1,16,1,0.213,0.262,0.222
佐藤　直樹,104,212,188,30,45,7,5,5,77,18,10,2,9,1,13,0,1,72,2,0.239,0.41,0.291
*周東　佑京,96,430,384,45,110,13,2,3,136,36,35,4,4,0,37,2,5,73,5,0.286,0.354,0.357
*庄子　雄大,26,18,17,2,4,3,0,0,7,2,1,0,0,0,1,0,0,5,0,0.235,0.412,0.278
杉山　一樹,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダウンズ,50,168,146,21,33,10,3,4,61,18,4,1,0,2,19,0,1,36,0,0.226,0.418,0.315
*谷川原　健太,48,79,72,12,19,7,0,3,35,4,0,0,0,0,6,0,1,20,0,0.264,0.486,0.329
津森　宥紀,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*中村　晃,116,431,371,34,89,10,4,3,116,34,1,2,4,4,50,1,2,48,6,0.24,0.313,0.33
野村　勇,126,413,376,50,102,16,0,12,154,40,18,4,5,2,25,2,5,122,8,0.271,0.41,0.324
東浜　巨,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廣瀨　隆太,30,94,85,6,19,2,0,1,24,7,1,0,1,1,7,0,0,28,2,0.224,0.282,0.28
*藤井　皓哉,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤田　悠太郎,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*ヘルナンデス,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*前田　純,10,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
*前田　悠伍,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*牧原　大成,125,443,418,44,127,17,6,5,171,49,12,4,11,4,7,0,3,63,4,0.304,0.409,0.317
正木　智也,17,65,58,4,15,0,0,2,21,8,1,0,0,2,5,0,0,12,2,0.259,0.362,0.308
*松本　晴,29,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*松本　裕樹,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嶺井　博希,63,161,143,16,32,3,0,4,47,19,0,0,8,2,4,0,4,31,3,0.224,0.329,0.261
*宮﨑　颯,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*モイネロ,24,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2
*柳田　悠岐,20,78,73,12,21,3,0,4,36,9,0,0,0,0,5,1,0,13,1,0.288,0.493,0.333
*柳町　達,131,517,442,54,129,17,1,6,166,50,2,2,4,3,62,1,6,109,8,0.292,0.376,0.384
山川　穂高,130,496,443,45,100,9,0,23,178,62,0,0,0,4,45,3,4,126,7,0.226,0.402,0.3
*山本　恵大,25,80,70,8,15,1,0,2,22,6,0,0,0,0,7,0,3,17,5,0.214,0.314,0.313
リチャード,6,22,22,1,2,2,0,0,4,0,0,0,0,0,0,0,0,12,1,0.091,0.182,0.091
*渡邉　陸,24,51,45,4,10,2,0,0,12,5,1,0,0,0,5,1,1,17,0,0.222,0.267,0.314
*淺間　大基,39,108,92,4,17,2,0,2,25,7,2,0,2,0,14,0,0,19,1,0.185,0.272,0.292
有薗　直輝,12,35,31,3,7,2,0,0,9,3,0,0,0,1,2,0,1,12,1,0.226,0.29,0.286
